t,HC.f,Taobs,W.f,GR.f,hh,tod_1,tod_2,tod_3
NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-01 00:00:00,0.027838209829951596,0.6643518518518517,0.2110091743119266,0.006818181818181818,1,0.0,1.0,0.0
2024-01-01 01:00:00,0.026417439950273052,0.662037037037037,0.2110091743119266,0.006818181818181818,2,0.0,1.0,0.0
2024-01-01 02:00:00,0.02943657594458998,0.6550925925925924,0.2201834862385321,0.006818181818181818,3,0.0,1.0,0.0
2024-01-01 03:00:00,0.04488744838609422,0.6550925925925924,0.2110091743119266,0.013636363636363636,4,0.0,1.0,0.0
2024-01-01 04:00:00,0.05110331660968788,0.6319444444444443,0.2568807339449541,0.06363636363636363,5,0.0,1.0,0.0
2024-01-01 05:00:00,0.05465524130888426,0.6319444444444443,0.2110091743119266,0.11704545454545455,6,0.0,1.0,0.0
2024-01-01 06:00:00,0.05634240554100252,0.6458333333333333,0.33944954128440363,0.21704545454545454,7,0.0,1.0,0.0
2024-01-01 07:00:00,0.06637659281623229,0.6643518518518517,0.3761467889908257,0.4284090909090909,8,0.0,1.0,0.0
2024-01-01 08:00:00,0.07223726856990631,0.6712962962962963,0.34862385321100914,0.4113636363636364,9,0.0,1.0,0.0
2024-01-01 09:00:00,0.07081649869022776,0.7013888888888887,0.3761467889908257,0.6795454545454546,10,0.0,1.0,0.0
2024-01-01 10:00:00,0.05913954624161967,0.7199074074074074,0.42201834862385323,0.6670454545454545,11,0.0,1.0,0.0
2024-01-01 11:00:00,0.056076011188562806,0.7152777777777777,0.43119266055045874,0.7852272727272728,12,0.0,1.0,0.0
2024-01-01 12:00:00,0.05465524130888426,0.7175925925925926,0.44036697247706424,0.9022727272727272,13,0.0,1.0,0.0
2024-01-01 13:00:00,0.046485814500732574,0.7152777777777777,0.42201834862385323,0.8090909090909091,14,0.0,1.0,0.0
2024-01-01 14:00:00,0.04466545309239445,0.7106481481481481,0.3853211009174312,0.7522727272727273,15,0.0,1.0,0.0
2024-01-01 15:00:00,0.049993340141189016,0.7106481481481481,0.35779816513761464,0.6181818181818182,16,0.0,1.0,0.0
2024-01-01 16:00:00,0.047595790969231444,0.7129629629629628,0.3302752293577982,0.5056818181818182,17,0.0,1.0,0.0
2024-01-01 17:00:00,0.04977134484748924,0.7037037037037036,0.3119266055045871,0.38977272727272727,18,0.0,1.0,0.0
2024-01-01 18:00:00,0.049460551436309536,0.6967592592592593,0.2935779816513761,0.2431818181818182,19,0.0,1.0,0.0
2024-01-01 19:00:00,0.054788438485104105,0.6759259259259258,0.2201834862385321,0.10227272727272728,20,0.0,1.0,0.0
2024-01-01 20:00:00,0.0536340629578653,0.6388888888888888,0.11926605504587154,0.025,21,0.0,1.0,0.0
2024-01-01 21:00:00,0.05616480930604271,0.6064814814814814,0.055045871559633024,0.003409090909090909,22,0.0,1.0,0.0
2024-01-01 22:00:00,0.05358966389912533,0.5671296296296295,0.03669724770642202,0.0022727272727272726,23,0.0,0.0,1.0
2024-01-01 23:00:00,0.05323447142920568,0.5555555555555555,0.027522935779816515,0.003409090909090909,0,0.0,0.0,1.0
2024-01-02 00:00:00,0.05558762154242329,0.548611111111111,0.06422018348623854,0.003409090909090909,1,0.0,0.0,1.0
2024-01-02 01:00:00,0.054877236602584034,0.548611111111111,0.06422018348623854,0.003409090909090909,2,0.0,0.0,1.0
2024-01-02 02:00:00,0.06482262576033387,0.537037037037037,0.04587155963302752,0.003409090909090909,3,0.0,0.0,1.0
2024-01-02 03:00:00,0.0710828930426675,0.5277777777777777,0.06422018348623854,0.00909090909090909,4,0.0,0.0,1.0
2024-01-02 04:00:00,0.06140389823735737,0.5300925925925926,0.055045871559633024,0.05909090909090909,5,0.0,0.0,1.0
2024-01-02 05:00:00,0.04706300226435199,0.574074074074074,0.055045871559633024,0.15454545454545454,6,0.0,0.0,1.0
2024-01-02 06:00:00,0.04781778626293122,0.6342592592592592,0.08256880733944955,0.29772727272727273,7,0.0,0.0,1.0
2024-01-02 07:00:00,0.05358966389912533,0.6782407407407406,0.06422018348623854,0.5056818181818182,8,0.0,0.0,1.0
2024-01-02 08:00:00,0.060027527416418765,0.7013888888888887,0.12844036697247704,0.5568181818181818,9,0.0,0.0,1.0
2024-01-02 09:00:00,0.06526661634773342,0.7152777777777777,0.18348623853211007,0.7363636363636363,10,0.0,0.0,1.0
2024-01-02 10:00:00,0.06184788882475691,0.7291666666666666,0.2201834862385321,0.8727272727272727,11,0.0,0.0,1.0
2024-01-02 11:00:00,0.05700839142210184,0.7337962962962963,0.2935779816513761,0.9613636363636363,12,0.0,0.0,1.0
2024-01-02 12:00:00,0.047018603205612026,0.736111111111111,0.3211009174311926,0.9738636363636364,13,0.0,0.0,1.0
2024-01-02 13:00:00,0.04475425120987435,0.7453703703703703,0.3211009174311926,0.9340909090909091,14,0.0,0.0,1.0
2024-01-02 14:00:00,0.03929316698485992,0.7407407407407407,0.33944954128440363,0.8488636363636364,15,0.0,0.0,1.0
2024-01-02 15:00:00,0.043377880388935745,0.7337962962962963,0.3761467889908257,0.7193181818181819,16,0.0,0.0,1.0
2024-01-02 16:00:00,0.04986014296496914,0.7268518518518517,0.34862385321100914,0.5863636363636363,17,0.0,0.0,1.0
2024-01-02 17:00:00,0.050570527904808406,0.7199074074074074,0.33944954128440363,0.4159090909090909,18,0.0,0.0,1.0
2024-01-02 18:00:00,0.050126537317408855,0.7152777777777777,0.27522935779816515,0.24204545454545454,19,0.0,0.0,1.0
