Horizon,RMSE_Reconciled,RMSE_Base,Absolute_Improvement,Percentage_Improvement
1,42.668838680859096,84.84042532411041,42.17158664325132,49.70694864169518
2,49.51918529922702,116.79655118973383,67.27736589050681,57.60218534296957
3,53.30320745642784,136.69088320955183,83.38767575312399,61.00456284658561
4,53.00812506822926,147.73539459408877,94.72726952585951,64.11954954066896
5,53.13751013884222,153.9240660572744,100.78655591843217,65.47810131323453
6,59.3224151760078,158.11123050785704,98.78881533184924,62.48058092681792
7,62.086609753156765,159.31601278676953,97.22940303361277,61.029272157184714
8,60.13315842222421,153.20232996693312,93.06917154470891,60.7491880605189
9,57.248835716944406,150.21605164328594,92.96721592634154,61.889002479647324
10,64.47253204663294,153.53871521327855,89.06618316664562,58.00894129075197
11,76.38934805689549,149.0101165855692,72.62076852867371,48.735461855015174
12,86.3912726776861,150.01308715339675,63.62181447571065,42.41084273577664
13,92.55510975227747,153.51177148071687,60.9566617284394,39.70813517456958
14,91.09066287378329,157.36008550118123,66.26942262739794,42.113235015305385
15,83.25614145672981,160.8428737716982,77.5867323149684,48.23759392977254
16,77.09291147130382,165.86611199739713,88.7732005260933,53.520999230684566
17,72.98352117641546,166.55764811886675,93.57412694245129,56.18122493880947
18,75.27992372332976,164.51966582923376,89.239742105904,54.24259869244571
19,78.86622484096785,156.65212435761111,77.78589951664327,49.65518331501897
20,81.43654328434108,147.35539341186407,65.91885012752299,44.73460292238997
21,85.30177767753337,144.67518038433974,59.373402706806374,41.03910743299353
22,89.65729326754872,141.85425939798245,52.19696613043372,36.79619233990806
23,91.5875241038419,136.3414826603398,44.753958556497906,32.82490235784734
24,89.16062367410794,134.277555780586,45.11693210647806,33.59975674579647
25,91.48563039955334,147.43212664815152,55.94649624859818,37.947289726149805
26,92.13096973403255,164.52333596357002,72.39236622953747,44.00127544554964
27,87.08703413926462,173.73584082105225,86.64880668178763,49.873881101502725
28,84.81450388456022,183.03903337447272,98.2245294899125,53.6631600807018
29,84.60351858983674,184.71553745026304,100.1120188604263,54.197941463036216
30,84.48394645151163,189.87057808213584,105.38663163062421,55.50445608536314
31,86.67015131182747,191.42808540856703,104.75793409673956,54.724432871568226
32,86.15923623023967,186.44317953362926,100.28394330338959,53.78793879949956
33,84.14483251897683,182.9536116053423,98.80877908636548,54.00755864798693
34,86.61748378732058,182.12777383520574,95.51029004788516,52.441364673081395
35,87.57408792025508,180.9551064473022,93.38101852704712,51.60452244780479
36,92.77457598096761,180.18168587023703,87.40710988926942,48.51054060634006
37,97.79804898203128,180.81827216110437,83.0202231790731,45.91362487144232
38,98.63252105776868,188.30378576544976,89.67126470768108,47.62053207967637
39,94.90533031783643,193.7543378138772,98.84900749604078,51.017700357757334
40,92.74422533386408,198.71023335226513,105.96600801840106,53.32690029634708
41,92.56580402937801,197.66028338919233,105.09447935981431,53.16924450264179
42,93.26860162731836,193.861259835022,100.59265820770364,51.88899437324872
43,95.59818970624139,185.15964108513685,89.56145137889547,48.36985579255627
44,96.84968874348215,182.09596802156534,85.2462792780832,46.8139301513736
45,97.29379049347642,176.68978775893368,79.39599726545725,44.93524966693661
46,97.41823704786393,172.07880469506347,74.66056764719954,43.387428091160714
47,98.92629953542819,169.62011354963465,70.69381401420647,41.67773062686924
48,98.50886499314865,169.9435376717469,71.43467267859825,42.03435662059556
