,Horizon,RMSE_Reconciled,RMSE_Base,Absolute_Improvement,Percentage_Improvement
0,1,42.50713626760281,71.85628897156305,29.349152703960236,40.84423663400582
1,2,43.05501568657014,97.90555830832534,54.8505426217552,56.02393119399741
2,3,43.576052021857535,114.77854450436908,71.20249248251154,62.03467101798037
3,4,42.07546458288515,123.03472194226615,80.959257359381,65.80195905784304
4,5,45.296503644561916,133.4163063853391,88.1198027407772,66.04875005778194
5,6,50.37173076901675,139.18931642826405,88.8175856592473,63.81063427739618
6,7,53.91652073426453,139.0806212825117,85.16410054824715,61.23362101989394
7,8,50.78204020410211,137.3102818298847,86.52824162578258,63.016578564002536
8,9,46.48151686746874,136.57205205834958,90.09053519088084,65.9655718963571
9,10,51.7982850340631,142.3738776457022,90.57559261163911,63.618125817319324
10,11,66.03814676499033,141.2558772679559,75.21773050296557,53.24927497372799
11,12,73.93296095683567,140.9202264809948,66.98726552415914,47.53559314864809
12,13,84.64365782566487,146.89797653110895,62.25431870544408,42.37928947391615
13,14,79.82530239265343,150.7416519209976,70.91634952834418,47.04495978690139
14,15,74.54795907592496,149.81390501641533,75.26594594049037,50.239626243133685
15,16,73.72435265368127,151.4148496655546,77.69049701187335,51.30969464585293
16,17,69.4945598356806,152.3002001217839,82.80564028610328,54.37001410365146
17,18,70.59271374064213,154.37644162915927,83.78372788851715,54.27235334895278
18,19,72.29626878500258,148.1526045535813,75.85633576857873,51.20148646535897
19,20,73.35204232138915,143.7920214115312,70.43997909014206,48.98740444613655
20,21,78.94324646112202,142.61133546344954,63.66808900232752,44.644479904365866
21,22,90.02339224451985,144.1711828018412,54.14779055732136,37.55798454656906
22,23,95.07214828854953,146.3191944498914,51.24704616134187,35.024144545090415
23,24,94.13050979204813,144.55673283131924,50.42622303927111,34.88334445003859
24,25,93.75972824112331,150.8177458428928,57.05801760176949,37.83242965400568
25,26,93.38531749119066,160.00690870672005,66.62159121552939,41.63669666141821
26,27,88.33804089763643,163.9079681806116,75.56992728297516,46.10509673312771
27,28,88.28444023153935,172.33617500368274,84.05173477214339,48.771962572772225
28,29,87.1517073145047,172.28992198679322,85.13821467228851,49.415667318495125
29,30,87.45263012044582,178.1077002756956,90.65507015524979,50.899017849831
30,31,88.98135295908712,177.7246752250394,88.74332226595227,49.93303386464669
31,32,86.08514399443847,178.54206537243414,92.45692137799567,51.784391081806355
32,33,80.97511307599157,179.992204272928,99.01709119693643,55.01187765154185
33,34,85.36458614856896,176.01961897192805,90.6550328233591,51.5028002860391
34,35,81.95536556763123,177.99263573679093,96.0372701691597,53.955754838742955
35,36,87.85945264482577,178.63092436980054,90.77147172497477,50.81509377237521
36,37,94.53699498242428,175.93319310608243,81.39619812365815,46.26540147803643
37,38,94.0640305810914,185.7886118968896,91.72458131579819,49.37040025182179
38,39,93.56828169805331,190.4858477818883,96.917566083835,50.8791425779874
39,40,92.22268995036175,192.606155990341,100.38346603997924,52.1185138262213
40,41,91.7496874994463,194.7064634162879,102.95677591684161,52.87794463028026
41,42,90.48472085605056,191.47121279334974,100.98649193729918,52.742389032805406
42,43,91.30859943813596,188.22378759275202,96.91518815461606,51.48934116887784
43,44,94.0588197967867,187.32744034804432,93.26862055125763,49.789086093297136
44,45,95.56409192732478,184.58942990986978,89.025337982545,48.228838469252416
45,46,99.51685044269776,182.99875305029357,83.48190260759581,45.61883685876945
46,47,103.04861269347664,182.76209877127098,79.71348607779434,43.615983080582126
47,48,107.54847520820171,187.07308926347974,79.52461405527804,42.509916508233324
