,Horizon,RMSE_Reconciled,RMSE_Base,Absolute_Improvement,Percentage_Improvement
0,1,24.69790690285412,33.53294749086422,8.835040588010099,26.347342685629215
1,2,33.19423046130116,64.64653619304592,31.452305731744758,48.65273158305442
2,3,27.741835746290544,89.77819464821688,62.036358901926334,69.09958386332784
3,4,23.601541356743997,109.95463460707703,86.35309325033303,78.53520095711826
4,5,30.095881410948206,125.46499462885464,95.36911321790643,76.01252723919002
5,6,44.396941607319526,135.65508285160683,91.25814124428732,67.27218717201673
6,7,49.58480503445411,140.22980106220666,90.64499602775255,64.64032277100783
7,8,42.93570868279662,140.77836366766604,97.84265498486943,69.50120205676316
8,9,30.490429253066612,139.77597315586885,109.28554390280225,78.18621572459688
9,10,28.608883503221243,138.33079565068297,109.72191214746172,79.3184999994757
10,11,45.35462609883911,136.78973825843656,91.43511215959745,66.84354639735423
11,12,66.7638526317775,135.80974031987813,69.04588768810063,50.84015883210886
12,13,78.71076708216313,135.74574628058267,57.034979198419535,42.0160342118786
13,14,80.7822458375237,136.19097588306343,55.40873004553973,40.684582576979906
14,15,76.08069717111368,136.88756685929707,60.80686968818338,44.4210318609031
15,16,68.45293897665474,137.99696400431245,69.54402502765771,50.3953297302138
16,17,60.127120246163145,139.38384928579922,79.25672903963607,56.862204226491365
17,18,55.144127659972064,139.495403359825,84.35127569985292,60.468856799726126
18,19,55.56201958445657,138.44787398824582,82.88585440378924,59.867914194786565
19,20,60.88466777037964,137.38158060309104,76.49691283271139,55.682073606154326
20,21,67.66437646173489,137.34476912055723,69.68039265882234,50.73392536534021
21,22,74.17075022331564,138.869299123567,64.69854890025137,46.5895264889917
22,23,77.92204309390814,142.11484665202045,64.1928035581123,45.169667399559955
23,24,81.06185643040219,144.61905610239643,63.55719967199424,43.948011683185825
24,25,83.1949671770404,146.63262782428566,63.437660647245266,43.26299104675703
25,26,83.15536716882325,150.63147872437466,67.47611155555141,44.795491703974534
26,27,81.64026110905422,155.84766881739716,74.20740770834294,47.61534662112265
27,28,80.51784815501622,161.56946788878525,81.05161973376903,50.16518330651439
28,29,80.28604719014284,167.7204582275474,87.43441103740456,52.13103515301738
29,30,80.65615198931407,173.42365220136256,92.76750021204849,53.491838647438904
30,31,81.22358322419201,177.33116535576903,96.10758213157702,54.19666753938151
31,32,78.87633219893966,180.0051709069709,101.12883870803124,56.181074242748274
32,33,75.89609207417519,182.30238688117518,106.406294807,58.36802064273338
33,34,74.51505336050698,184.1602935650914,109.64524020458441,59.537937349035744
34,35,78.03371139193823,185.17979017934485,107.14607878740662,57.86056819895771
35,36,84.30373870248513,184.89805510145845,100.59431639897332,54.40528638539468
36,37,88.68120567914663,183.48414060858534,94.8029349294387,51.66819029426395
37,38,89.47381313038642,181.2243296437548,91.75051651336838,50.6281450695548
38,39,87.70431147362643,178.18425509303532,90.47994361940889,50.77886571524887
39,40,85.32693774272599,175.50419350392784,90.17725576120185,51.38182396717698
40,41,83.61438254576696,174.09891625653853,90.48453371077157,51.97305971591497
41,42,83.2245617656909,172.91932168036348,89.69475991467259,51.870871943663325
42,43,85.27831936185844,171.90539982125483,86.6270804593964,50.39229747842139
43,44,90.04118744475247,171.7652612123435,81.72407376759102,47.57893021602329
44,45,94.52062964384193,172.78865414064876,78.26802449680683,45.29696980746039
45,46,99.11816860451887,174.623986743807,75.50581813928812,43.23908733687523
46,47,101.37467055708565,176.15380767886415,74.7791371217785,42.451047812775094
47,48,106.1161712468027,175.4472990357467,69.33112778894402,39.516782629305716
