Horizon,RMSE_Reconciled,RMSE_Base,Absolute_Improvement,Percentage_Improvement
1,34.69579115591095,44.52620820023236,9.830417044321408,22.077822122455302
2,42.84783963675465,77.30487388640057,34.45703424964592,44.57291308731775
3,36.2322509877201,104.44379818814642,68.21154720042631,65.30933227605257
4,29.995636779222814,124.38874532510326,94.39310854588044,75.88557011261267
5,39.01481110095872,138.40224340371947,99.38743230276074,71.81056452448354
6,56.973469655370934,146.90843036155565,89.93496070618471,61.21837969737081
7,59.35298229741095,150.1303836948067,90.77740139739575,60.46570931433376
8,49.32750226184117,148.57158257358282,99.24408031174164,66.79883096930006
9,36.17387648179006,143.59626861572698,107.42239213393692,74.80862362893724
10,36.823860926418966,137.31201477217812,100.48815384575914,73.18234606963166
11,52.46055652805235,131.89540227698146,79.4348457489291,60.22563666178087
12,72.14981913944644,130.6445349731648,58.494715833718374,44.77394775505424
13,83.49586392346548,134.8235142027838,51.32765027931832,38.07025101134659
14,85.7637705001601,141.3097408094372,55.54597030927708,39.30795569442267
15,80.41404593303841,146.56181794314153,66.14777201010313,45.13301822973093
16,72.15631291059302,150.0759687132043,77.91965580261129,51.92014182598149
17,65.43858995398918,151.39708131737217,85.95849136338299,56.776848414395175
18,63.67271702650143,151.0945230484163,87.42180602191488,57.859017162324065
19,65.11731858997923,149.76578754363507,84.64846895365584,56.52056477117182
20,67.08880526482808,147.2323264218429,80.14352115701483,54.43337282288911
21,71.53572265378564,143.6977065251043,72.16198387131867,50.21790925988914
22,75.78739788528684,140.4476752062083,64.66027732092145,46.038695354683405
23,77.3918333594812,140.44684544111522,63.05501208163402,44.8959974028544
24,79.92975715285034,142.5973077473524,62.66755059450206,43.94721862879323
25,81.78925061651435,147.38764780593615,65.5983971894218,44.50739133566645
26,82.5927278716828,156.74596593183065,74.15323806014786,47.307908448755455
27,80.20889226375232,167.6184941392269,87.40960187547458,52.14794603921845
28,78.81001922357602,179.04001660738396,100.22999738380794,55.98189683125524
29,81.38765192269346,188.13701751906248,106.74936559636902,56.74022422809638
30,85.66929649996008,194.17647180998034,108.50717531002026,55.8807018680433
31,86.02618863823791,195.69264725048956,109.66645861225165,56.04015283817839
32,81.7078050365913,193.03963592103162,111.33183088444032,57.67304230203987
33,75.80337840619127,188.15176921840148,112.34839081221021,59.711578200361885
34,74.3813079583083,184.32350646909296,109.94219851078466,59.64632542904644
35,78.43910535426336,183.1709884778357,104.73188312357233,57.17711303187363
36,85.65660487108049,185.16748265770332,99.51087778662283,53.7410113041157
37,91.79072044582334,189.90303031533549,98.11230986951215,51.66442563164784
38,93.65542543448855,195.3356316464691,101.68020621198055,52.0541006036256
39,91.75981087986321,199.94375030661982,108.18393942675661,54.10718727684824
40,88.11745015344503,203.3712614282081,115.25381127476307,56.671631215430466
41,86.22389445934203,205.45676127632896,119.23286681698693,58.03307035324321
42,86.71919725400906,205.68460431807532,118.96540706406626,57.83875145078699
43,87.37030029274804,203.27884231283107,115.90854202008303,57.019481565970544
44,87.82225422327674,198.43617352352757,110.61391930025083,55.74282014016758
45,89.40304434291885,191.93580199070774,102.5327576477889,53.420339813805484
46,91.35288413824263,187.0358614267156,95.68297728847297,51.15755692977814
47,92.8898845030883,186.3030288007554,93.41314429766712,50.140432444374916
48,97.79572811027653,189.46145399931464,91.66572588903811,48.38225610227276
